label,target_file,period,day,day_num,raw_path
acetone,acetone\acetone_o1.csv,Period_I,Day1,1,D:\thesis\enose_data\acetone\enose_data_old\acetone_1.csv
acetone,acetone\acetone_o2.csv,Period_I,Day1,1,D:\thesis\enose_data\acetone\enose_data_old\acetone_2.csv
acetone,acetone\acetone_o3.csv,Period_I,Day1,1,D:\thesis\enose_data\acetone\enose_data_old\acetone_3.csv
acetone,acetone\acetone_o4.csv,Period_I,Day2,2,D:\thesis\enose_data\acetone\enose_data_old\acetone_4.csv
acetone,acetone\acetone_o5.csv,Period_I,Day2,2,D:\thesis\enose_data\acetone\enose_data_old\acetone_5.csv
acetone,acetone\acetone_o6.csv,Period_I,Day2,2,D:\thesis\enose_data\acetone\enose_data_old\acetone_6.csv
acetone,acetone\acetone_o7.csv,Period_I,Day2,2,D:\thesis\enose_data\acetone\enose_data_old\acetone_7.csv
acetone,acetone\acetone_o8.csv,Period_I,Day2,2,D:\thesis\enose_data\acetone\enose_data_old\acetone_8.csv
acetone,acetone\acetone_o9.csv,Period_I,Day2,2,D:\thesis\enose_data\acetone\enose_data_old\acetone_9.csv
acetone,acetone\acetone_o10.csv,Period_I,Day3,3,D:\thesis\enose_data\acetone\enose_data_old\acetone_10.csv
acetone,acetone\acetone_o11.csv,Period_I,Day3,3,D:\thesis\enose_data\acetone\enose_data_old\acetone_11.csv
acetone,acetone\acetone_o12.csv,Period_I,Day3,3,D:\thesis\enose_data\acetone\enose_data_old\acetone_12.csv
acetone,acetone\acetone_1.csv,Period_II,Day1,1,D:\thesis\enose_data\acetone\enose_data\acetone_1.csv
acetone,acetone\acetone_2.csv,Period_II,Day1,1,D:\thesis\enose_data\acetone\enose_data\acetone_2.csv
acetone,acetone\acetone_3.csv,Period_II,Day1,1,D:\thesis\enose_data\acetone\enose_data\acetone_3.csv
acetone,acetone\acetone_4.csv,Period_II,Day1,1,D:\thesis\enose_data\acetone\enose_data\acetone_4.csv
acetone,acetone\acetone_5.csv,Period_II,Day1,1,D:\thesis\enose_data\acetone\enose_data\acetone_5.csv
acetone,acetone\acetone_48.csv,Period_II,Day10,10,D:\thesis\enose_data\acetone\enose_data\acetone_48.csv
acetone,acetone\acetone_49.csv,Period_II,Day10,10,D:\thesis\enose_data\acetone\enose_data\acetone_49.csv
acetone,acetone\acetone_50.csv,Period_II,Day10,10,D:\thesis\enose_data\acetone\enose_data\acetone_50.csv
acetone,acetone\acetone_51.csv,Period_II,Day10,10,D:\thesis\enose_data\acetone\enose_data\acetone_51.csv
acetone,acetone\acetone_52.csv,Period_II,Day11,11,D:\thesis\enose_data\acetone\enose_data\acetone_52.csv
acetone,acetone\acetone_53.csv,Period_II,Day11,11,D:\thesis\enose_data\acetone\enose_data\acetone_53.csv
acetone,acetone\acetone_54.csv,Period_II,Day11,11,D:\thesis\enose_data\acetone\enose_data\acetone_54.csv
acetone,acetone\acetone_55.csv,Period_II,Day11,11,D:\thesis\enose_data\acetone\enose_data\acetone_55.csv
acetone,acetone\acetone_56.csv,Period_II,Day12,12,D:\thesis\enose_data\acetone\enose_data\acetone_56.csv
acetone,acetone\acetone_57.csv,Period_II,Day12,12,D:\thesis\enose_data\acetone\enose_data\acetone_57.csv
acetone,acetone\acetone_58.csv,Period_II,Day13,13,D:\thesis\enose_data\acetone\enose_data\acetone_58.csv
acetone,acetone\acetone_59.csv,Period_II,Day13,13,D:\thesis\enose_data\acetone\enose_data\acetone_59.csv
acetone,acetone\acetone_60.csv,Period_II,Day13,13,D:\thesis\enose_data\acetone\enose_data\acetone_60.csv
acetone,acetone\acetone_61.csv,Period_II,Day14,14,D:\thesis\enose_data\acetone\enose_data\acetone_61.csv
acetone,acetone\acetone_62.csv,Period_II,Day14,14,D:\thesis\enose_data\acetone\enose_data\acetone_62.csv
acetone,acetone\acetone_63.csv,Period_II,Day14,14,D:\thesis\enose_data\acetone\enose_data\acetone_63.csv
acetone,acetone\acetone_64.csv,Period_II,Day16,16,D:\thesis\enose_data\acetone\enose_data\acetone_64.csv
acetone,acetone\acetone_65.csv,Period_II,Day16,16,D:\thesis\enose_data\acetone\enose_data\acetone_65.csv
acetone,acetone\acetone_66.csv,Period_II,Day16,16,D:\thesis\enose_data\acetone\enose_data\acetone_66.csv
acetone,acetone\acetone_67.csv,Period_II,Day16,16,D:\thesis\enose_data\acetone\enose_data\acetone_67.csv
acetone,acetone\acetone_68.csv,Period_II,Day16,16,D:\thesis\enose_data\acetone\enose_data\acetone_68.csv
acetone,acetone\acetone_69.csv,Period_II,Day17,17,D:\thesis\enose_data\acetone\enose_data\acetone_69.csv
acetone,acetone\acetone_70.csv,Period_II,Day17,17,D:\thesis\enose_data\acetone\enose_data\acetone_70.csv
acetone,acetone\acetone_71.csv,Period_II,Day17,17,D:\thesis\enose_data\acetone\enose_data\acetone_71.csv
acetone,acetone\acetone_72.csv,Period_II,Day17,17,D:\thesis\enose_data\acetone\enose_data\acetone_72.csv
acetone,acetone\acetone_73.csv,Period_II,Day17,17,D:\thesis\enose_data\acetone\enose_data\acetone_73.csv
acetone,acetone\acetone_10.csv,Period_II,Day2,2,D:\thesis\enose_data\acetone\enose_data\acetone_10.csv
acetone,acetone\acetone_6.csv,Period_II,Day2,2,D:\thesis\enose_data\acetone\enose_data\acetone_6.csv
acetone,acetone\acetone_7.csv,Period_II,Day2,2,D:\thesis\enose_data\acetone\enose_data\acetone_7.csv
